date,height_temperature,low_temperature,height_history_temperature,low_history_temperature,humidity,humidity_history,precipitation,wind_velocity,wind_velocity_history,height_temperature_predicted,low_temperature_predicted,humidity_predicted,precipitation_predicted
2020-01-01,15.6,8.9,13.1,6.4,50.51,69.69,0.38,4.0,7.6,,,,
2020-01-02,14.4,9.8,13.1,6.3,58.77,70.35,2.86,3.4,7.6,,,,
2020-01-03,12.6,13.6,13.0,6.2,61.17,70.98,3.16,6.6,7.6,,,,
2020-01-04,16.7,11.8,12.9,6.3,63.77,71.66,0.38,6.9,7.5,,,,
2020-01-05,22.7,9.5,12.8,6.2,60.02,71.99,0.38,6.1,7.6,,,,
2020-01-06,25.4,10.6,12.7,6.2,63.19,71.82,4.59,9.3,7.6,,,,
2020-01-07,22.9,13.2,12.6,6.2,63.79,71.7,0.64,9.1,7.5,,,,
2020-01-08,26.2,12.2,12.6,6.2,33.5,71.61,0.43,8.5,7.4,,,,
2020-01-09,17.5,11.7,12.7,6.2,31.06,71.63,5.43,5.6,7.6,,,,
2020-01-10,14.3,7.8,12.7,6.2,36.45,71.58,9.34,9.9,7.6,,,,
2020-01-11,8.1,6.0,12.7,6.1,38.41,71.79,2.41,11.3,7.6,,,,
2020-01-12,14.0,3.4,12.6,6.0,49.95,71.98,0.0,8.1,7.8,,,,
2020-01-13,15.7,3.4,12.3,5.9,50.0,71.99,4.74,5.8,7.9,,,,
2020-01-14,12.0,6.3,12.1,5.7,48.25,71.57,12.66,10.7,7.8,,,,
2020-01-15,11.3,6.7,11.9,5.6,50.97,71.71,17.77,6.9,7.7,,,,
2020-01-16,9.2,5.3,11.8,5.6,55.94,71.94,4.59,11.7,7.7,,,,
2020-01-17,8.5,5.0,11.8,5.6,52.23,72.17,0.88,10.6,7.6,,,,
2020-01-18,9.1,5.1,12.0,5.7,50.85,72.71,2.33,7.3,7.3,,,,
2020-01-19,14.7,6.1,12.1,5.8,52.51,73.49,0.38,7.6,7.4,,,,
2020-01-20,14.4,6.8,12.1,5.9,58.84,74.09,2.67,4.6,7.6,,,,
2020-01-21,16.7,8.4,12.1,5.9,76.6,74.16,2.25,3.5,7.8,,,,
2020-01-22,19.7,8.7,12.0,5.9,73.96,74.06,3.5,8.1,8.1,,,,
2020-01-23,16.9,11.4,11.7,5.8,69.32,73.85,12.66,6.1,8.2,,,,
2020-01-24,12.2,8.1,11.6,5.7,70.36,73.77,52.52,12.4,8.2,,,,
2020-01-25,10.6,5.2,11.6,5.8,89.06,73.56,37.44,13.6,8.1,,,,
2020-01-26,11.7,4.1,11.9,5.8,76.93,73.93,0.0,12.0,7.8,,,,
2020-01-27,11.5,2.4,12.1,5.9,81.04,74.14,0.0,11.9,7.8,,,,
2020-01-28,11.9,2.8,12.4,6.0,57.72,74.15,0.0,9.9,7.9,,,,
2020-01-29,16.5,2.3,12.4,6.1,60.06,74.24,0.0,9.0,7.9,,,,
2020-01-30,14.9,1.5,12.3,6.2,65.93,74.32,0.0,7.7,8.0,,,,
2020-01-31,18.3,4.7,12.1,6.2,77.22,74.32,0.0,5.1,8.0,,,,
2020-02-01,14.2,7.4,11.9,6.2,84.59,74.52,2.41,3.5,8.0,,,,
2020-02-02,14.1,8.6,11.8,6.3,76.33,75.05,17.18,5.5,7.8,,,,
2020-02-03,12.9,8.1,12.0,6.3,81.09,75.48,22.53,10.6,7.7,,,,
2020-02-04,12.6,7.8,12.3,6.4,81.89,75.86,2.5,5.7,7.6,,,,
2020-02-05,12.4,9.0,12.5,6.6,76.52,76.09,18.39,4.8,7.7,,,,
2020-02-06,13.1,9.4,12.8,6.7,71.13,76.03,15.52,5.7,7.7,,,,
2020-02-07,13.3,8.0,13.1,6.9,69.56,75.96,5.62,11.6,7.8,,,,
2020-02-08,11.9,6.8,13.3,7.1,81.37,75.78,1.66,10.4,7.8,,,,
2020-02-09,14.1,7.4,13.5,7.1,87.88,75.57,0.38,8.5,8.0,,,,
2020-02-10,16.3,8.3,13.7,7.3,86.05,75.56,0.38,3.1,7.8,,,,
2020-02-11,15.5,10.3,14.0,7.5,78.36,76.43,1.31,3.8,7.6,,,,
2020-02-12,16.4,12.4,14.3,7.6,74.53,77.09,23.3,3.1,7.5,,,,
2020-02-13,24.8,13.3,14.4,7.8,71.31,77.56,25.79,4.4,7.5,,,,
2020-02-14,20.4,15.1,14.4,8.0,69.64,78.16,50.77,3.8,7.4,,,,
2020-02-15,23.4,3.2,14.3,8.0,73.2,78.65,13.11,14.1,7.5,,,,
2020-02-16,16.9,3.1,14.1,7.9,87.04,78.41,0.38,15.1,7.8,,,,
2020-02-17,13.6,4.4,13.9,7.9,60.54,78.0,0.0,12.2,8.0,,,,
2020-02-18,15.4,4.7,13.8,7.8,58.04,77.44,0.0,5.7,8.1,,,,
2020-02-19,16.0,8.7,13.8,7.9,59.92,76.95,0.38,3.3,8.1,,,,
2020-02-20,18.8,11.9,14.1,8.0,61.43,76.82,1.72,4.2,8.0,,,,
2020-02-21,17.2,12.5,14.3,8.1,65.07,77.04,3.38,5.7,7.9,,,,
2020-02-22,20.9,10.5,14.4,8.2,71.8,77.38,0.38,6.1,7.9,,,,
2020-02-23,24.7,12.6,14.5,8.4,71.78,78.13,0.51,5.7,7.9,,,,
2020-02-24,25.0,13.1,14.6,8.5,71.24,78.37,0.46,9.2,8.0,,,,
2020-02-25,25.0,15.6,14.6,8.5,86.66,78.35,0.62,5.5,8.0,,,,
2020-02-26,28.5,17.3,14.8,8.6,81.18,78.28,0.38,3.2,7.8,,,,
2020-02-27,28.6,16.6,15.1,8.7,75.57,78.24,0.51,5.9,7.9,,,,
2020-02-28,27.1,16.7,15.2,8.8,91.49,77.64,0.44,7.1,7.8,,,,
2020-02-29,26.5,16.2,14.4,7.8,89.83,77.82,9.03,6.8,7.7,,,,
2020-03-01,23.0,14.4,15.5,8.9,61.97,77.7,1.19,8.6,7.7,,,,
2020-03-02,19.3,11.3,15.6,9.0,73.11,77.46,24.93,8.2,7.6,,,,
2020-03-03,16.1,9.4,15.8,9.1,88.86,77.48,33.81,10.4,7.6,,,,
2020-03-04,11.6,9.2,15.9,9.4,93.41,77.74,4.14,11.0,7.6,,,,
2020-03-05,16.8,9.4,16.0,9.7,83.54,77.76,1.36,5.2,7.7,,,,
2020-03-06,14.8,10.2,16.2,9.9,72.48,77.92,15.0,3.6,7.6,,,,
2020-03-07,22.1,11.6,16.3,10.0,81.42,78.36,12.66,4.1,7.7,,,,
2020-03-08,24.7,14.7,16.3,10.2,89.74,79.08,8.16,6.1,7.6,,,,
2020-03-09,24.1,14.4,16.4,10.3,92.14,79.73,8.16,9.4,7.2,,,,
2020-03-10,18.7,11.6,16.6,10.4,92.33,80.5,0.38,13.4,7.1,,,,
2020-03-11,21.5,10.2,16.7,10.6,84.22,81.17,6.88,4.0,7.3,,,,
2020-03-12,16.0,11.8,16.9,10.9,84.38,81.7,12.24,3.9,7.3,,,,
2020-03-13,17.8,12.3,17.2,11.1,86.29,81.48,1.84,10.0,7.3,,,,
2020-03-14,21.8,12.4,17.5,11.2,88.64,81.73,0.38,11.6,7.3,,,,
2020-03-15,21.2,14.6,17.8,11.4,85.75,81.81,0.74,3.5,7.3,,,,
2020-03-16,19.2,14.0,18.2,11.6,82.4,81.94,21.77,3.5,7.2,,,,
2020-03-17,18.3,13.3,18.4,11.8,82.84,82.14,38.72,6.5,7.1,,,,
2020-03-18,17.2,13.2,18.6,11.9,85.17,82.52,29.53,2.6,7.3,,,,
2020-03-19,23.2,13.8,18.6,12.1,84.84,82.57,0.38,2.4,7.5,,,,
2020-03-20,23.5,13.6,18.5,12.1,70.91,82.47,4.28,4.2,7.7,,,,
2020-03-21,26.0,14.5,18.3,12.1,53.44,82.16,1.66,11.8,7.8,,,,
2020-03-22,26.2,17.7,18.3,12.0,63.1,81.43,27.6,7.1,8.0,,,,
2020-03-23,29.5,19.0,18.3,11.9,70.94,80.81,33.81,4.0,8.0,,,,
2020-03-24,28.1,19.2,18.3,11.9,82.93,80.44,41.43,4.8,7.7,,,,
2020-03-25,24.2,18.1,18.6,12.0,86.4,80.41,49.08,8.5,7.5,,,,
2020-03-26,25.2,17.4,18.9,12.2,89.96,80.4,4.43,8.1,7.2,,,,
2020-03-27,23.5,12.7,19.3,12.5,87.43,81.0,27.6,8.2,7.1,,,,
2020-03-28,21.9,9.2,19.6,13.0,84.48,81.45,3.62,15.2,6.9,,,,
2020-03-29,15.3,9.5,19.8,13.3,85.56,81.58,13.56,9.1,6.9,,,,
2020-03-30,10.9,8.9,20.1,13.6,81.28,81.67,5.82,9.4,7.1,,,,
2020-03-31,19.1,9.5,20.4,13.7,81.82,81.6,0.62,6.7,7.3,,,,
2020-04-01,18.4,10.2,20.5,13.9,84.98,81.29,2.11,6.0,7.4,,,,
2020-04-02,16.4,12.1,20.7,14.0,85.98,81.52,34.98,7.3,7.6,,,,
2020-04-03,13.3,12.0,20.9,14.1,81.09,81.78,42.86,9.9,7.5,,,,
2020-04-04,14.6,11.8,21.0,14.3,85.03,81.75,21.77,9.5,7.3,,,,
2020-04-05,15.7,11.7,21.2,14.5,82.55,81.93,3.06,7.1,7.2,,,,
2020-04-06,18.8,13.3,21.5,14.7,90.59,82.24,0.58,5.4,7.1,,,,
2020-04-07,25.3,12.3,21.8,15.0,78.75,82.43,0.0,6.1,6.9,,,,
2020-04-08,25.2,13.2,22.0,15.2,79.24,82.47,0.62,3.9,7.0,,,,
2020-04-09,28.2,12.9,22.1,15.3,87.21,82.42,0.38,2.5,7.2,,,,
2020-04-10,28.3,14.7,22.2,15.3,88.08,82.32,17.18,6.3,7.3,,,,
2020-04-11,21.2,11.0,22.2,15.3,90.02,81.91,11.84,11.8,7.4,,,,
2020-04-12,23.4,9.3,22.2,15.3,87.86,81.15,0.0,12.5,7.3,,,,
2020-04-13,23.1,7.9,22.7,15.3,86.61,80.79,1.5,4.6,7.2,,,,
2020-04-14,21.4,12.8,23.3,15.7,88.64,81.08,0.0,4.0,7.0,,,,
2020-04-15,28.9,11.5,23.7,16.0,84.74,81.64,0.38,5.4,6.9,,,,
2020-04-16,28.9,14.4,24.0,16.4,80.12,82.47,1.0,8.1,6.8,,,,
2020-04-17,25.4,19.6,24.3,16.7,91.65,83.32,2.41,6.6,6.9,,,,
2020-04-18,25.0,19.4,24.3,17.0,91.94,83.82,10.69,8.6,6.8,,,,
2020-04-19,23.3,17.7,24.2,17.1,87.73,83.75,6.22,7.3,6.9,,,,
2020-04-20,26.4,17.3,24.3,17.3,86.75,83.51,8.44,5.0,7.0,,,,
2020-04-21,23.3,14.5,24.6,17.5,89.3,83.19,9.66,11.6,7.0,,,,
2020-04-22,18.5,13.6,24.7,17.6,85.33,82.93,18.39,10.8,7.1,,,,
2020-04-23,15.2,13.2,24.9,17.5,89.4,82.83,9.03,9.7,7.1,,,,
2020-04-24,19.1,12.9,24.9,17.6,83.55,82.87,1.26,7.7,6.9,,,,
2020-04-25,23.5,13.4,24.9,17.6,87.9,82.65,2.04,2.7,6.7,,,,
2020-04-26,27.3,12.1,25.0,17.7,88.45,82.58,0.0,4.0,6.6,,,,
2020-04-27,30.8,14.5,25.2,17.9,82.76,82.49,0.0,3.2,6.4,,,,
2020-04-28,28.2,16.5,25.5,18.1,71.68,82.65,0.0,2.9,6.4,,,,
2020-04-29,32.4,17.4,26.0,18.4,74.38,82.71,0.85,5.3,6.4,,,,
2020-04-30,31.5,19.0,26.4,18.7,74.81,83.09,0.94,6.3,6.5,,,,
2020-05-01,29.2,21.9,26.5,19.0,83.86,83.17,2.76,5.5,6.6,,,,
2020-05-02,27.2,20.1,26.6,19.1,90.53,83.22,1.55,5.7,6.7,,,,
2020-05-03,32.1,20.8,26.7,19.3,86.56,83.13,0.38,6.4,6.7,,,,
2020-05-04,32.3,23.5,26.6,19.3,78.83,83.28,0.85,7.7,6.7,,,,
2020-05-05,31.6,23.4,26.5,19.3,83.36,83.48,1.55,9.1,6.5,,,,
2020-05-06,36.8,21.7,26.5,19.3,91.0,83.78,0.38,8.1,6.3,,,,
2020-05-07,37.0,25.2,26.6,19.4,88.77,84.03,0.41,11.2,6.3,,,,
2020-05-08,35.2,26.7,26.7,19.5,87.82,84.12,0.62,10.2,6.4,,,,
2020-05-09,32.5,23.8,26.8,19.7,85.22,83.99,22.53,9.3,6.5,,,,
